,realized.0.0,realized.1.0,realized.2.0,realized.3.0,realized.4.0,prediction.0,prediction.1,prediction.2,prediction.3,prediction.4
2020-02-29,0.9735768044100187,0.02098308142742173,,0.00010954325753653124,0.005330570905023231,,,,,
2020-03-31,0.9587765803827368,0.03336121840453192,9.016911234748896e-05,,0.007772032100383826,0.9618069610046313,0.02429155356061707,0.00039298372183287826,0.0001041900177750233,0.013404311695143908
2020-04-30,0.9713735736661705,0.02192615413272461,0.0001278526599797409,2.2484871185223482e-05,0.0065499346699400135,0.9613150513733449,0.02462594356829891,0.0003940701483575665,0.00011882489172381646,0.013546110018274741
2020-05-31,0.9618081876450743,0.02909883965047319,0.0007097304831982598,,0.008383242221254285,0.9615003493318124,0.024471162383906196,0.00038139996977518695,0.00013368350589087262,0.01351340480861552
2020-06-30,0.9529282150625344,0.03952887192753445,0.0001418692928902115,,0.007401043717040778,0.9586712946567243,0.027055857029268018,0.0004142720970163885,0.00014633358205119713,0.013712242634939965
2020-07-31,0.9471333513165645,0.040567505984194424,0.0005883098939167508,,0.011710832805324355,0.9551244357650739,0.030198600969706578,0.00046230734680409224,0.00015728870048493135,0.014057367217930434
2020-08-31,0.9379635704761494,0.04452232229058101,0.0012044135729093162,0.0003308565081112624,0.01597883715224893,0.9601691303604232,0.025673665244426644,0.0002675195244505331,0.000151530025711338,0.013738154844988316
2020-09-30,0.9423624203381163,0.041089786229993486,,0.00043248004447001253,0.016115313387420244,0.9573214135938012,0.02819483982491798,0.0002913842261210886,0.00016193834254388888,0.01403042401261598
2020-10-31,0.9358589484287888,0.04493505475837826,0.0009550987932212928,0.00023447388123508273,0.018016424138376414,0.9550638660086489,0.03011256484564371,0.00031510300206593234,0.00017445588166488296,0.014334010261976577
2020-11-30,0.9320668773979576,0.0530956201063853,0.0004950666075397947,0.0005753906651876519,0.013767045222929621,0.9535358274886052,0.03130119138374096,0.0003186059127974474,0.00019742340808906846,0.014646951806767344
2020-12-31,0.9142480703561822,0.0675476626228739,0.0016522668607486708,,0.01655200016019523,0.9504681812120644,0.03400587703506421,0.0003494575609677944,0.00021612623417085553,0.014960357957732734
2021-01-31,0.941483851058747,0.04475795566527859,0.0014238968664710703,0.00010563780839230774,0.012228658601110973,0.9491941059243464,0.03489661631617748,0.0003528204170499011,0.00021603189098346785,0.015340425451442827
2021-02-28,0.936583016173355,0.04882576345552847,,0.0005177111588203165,0.014073509212296102,0.9409188606817871,0.04166067819083022,0.0006351651236566908,0.00024151013914697078,0.01654378586457906
2021-03-31,0.9524176018285693,0.026025753975832393,,0.000190432338775952,0.021366211856822432,0.9377217345345124,0.04452457400441696,0.0006610980772813794,0.00025282563669193353,0.016839767747097344
2021-04-30,0.9458366995563048,0.02933394778109053,0.00022540835009390357,0.0004722314743712759,0.024131712838139637,0.9365548917032718,0.04534056413240316,0.0006581257901545201,0.0002313155205415026,0.017215102853629302
2021-05-31,0.9198759465818851,0.0541852216067152,0.0007538888965247021,0.0004062052274406745,0.02477873768743448,0.9360355999020871,0.045447208950054885,0.0006529140323632609,0.000261057326556959,0.017603219788937752
2021-06-30,0.923823956459035,0.046695852627851815,,0.0004786994311142864,0.029001491481998723,0.9357276861814513,0.04519275293070617,0.0006621261549680932,0.0002662792735852519,0.018151155459288932
2021-07-31,0.9225415536842121,0.04949381297033527,0.000559435284654259,0.0002060002641232838,0.027199197796675147,0.9331073990992219,0.04754170588524755,0.0006903996615319892,0.00025226356275236247,0.018408231791246142
2021-08-31,0.9190578088051408,0.05334588232451359,0.00016025126538606372,3.1529410920739455e-05,0.027404528194038817,0.9418751304921362,0.03951532807476803,0.00038530620853312,0.00024990412596879476,0.017974331098593744
2021-09-30,0.919586135516299,0.05142608591326962,,0.00036601667715850227,0.02862176189327297,0.9390194969390826,0.04195351533966269,0.00041736436063185656,0.0002755106521643296,0.018334112708458385
2021-10-31,0.9082301267623053,0.06446155766304278,0.001483446783391419,0.0002888223388000409,0.02553604645246039,0.9355561263776454,0.04510052393434212,0.0004387657438095044,0.0002990922816253532,0.018605491662577536
2021-11-30,0.9248404673244277,0.05359063587609364,,0.00026612079458361777,0.021302776004895045,0.936526264100634,0.04358084062737911,0.0004273278922485953,0.00031819997740236403,0.01914736740233598
2021-12-31,0.9053763889392711,0.06469801726863027,0.0021599773084357236,0.00031119650297440634,0.02745441998068852,0.9346993800677443,0.04508116308427955,0.0004465674424307117,0.0003197713457393933,0.019453118059806023
2022-01-31,0.9170795617393358,0.061100765403063646,0.0007577951446329964,0.00011789917753775386,0.02094397853542996,0.9342732976300875,0.04498007447670417,0.0004350327208146431,0.0003420492390180263,0.01996954593337564
2022-02-28,0.921972872435323,0.05619170588069191,0.00019671225790141348,9.799074428551237e-05,0.02154071868179801,0.9238873810518272,0.05352166624301881,0.0007711473326104609,0.0003627172403454701,0.021457088132197984
2022-03-31,0.9094865995625904,0.05906524613603058,0.0010186857865751768,0.00043820943823871377,0.029991259076565115,0.9207112952822207,0.05636031673509476,0.0008116341262978789,0.00042234978836933436,0.021694404068017325
2022-04-30,0.9100829308068871,0.0636124868976674,0.0005945796290717973,9.404557209719396e-05,0.025615957094276543,0.9211434340498885,0.055298960869058174,0.0008006118744211121,0.0003922540058273057,0.022364739200804878
2022-05-31,0.9006074305039445,0.07070546001768373,0.000720292739236376,0.0004072230703211508,0.027559593668814244,0.920897168079804,0.054926339155987255,0.0007982260851717093,0.00041044563480959476,0.0229678210442274
2022-06-30,0.9123826058089363,0.066104449628554,0.0007318305600743691,0.0005359467416167163,0.020245167260818788,0.9191547422522224,0.05600407190345814,0.0008261193406522167,0.000513128262586494,0.023501938241080805
2022-07-31,0.8950766907877895,0.07908796719565174,0.0013273970363338382,2.3067814840730028e-08,0.024507921912410115,0.9178374705572683,0.05690784754528113,0.0008505142404734849,0.0004096479619085806,0.023994519695068568
2022-08-31,0.893799156982662,0.08183752271250741,,0.0004560231582251092,0.023907297146605524,0.9238902885853796,0.051831001908949785,0.0005096767870176117,0.00038400049645433387,0.023385032222198662
2022-09-30,0.9056602789952903,0.0764633521916035,0.0005837316305441756,0.00011253641313057042,0.017180100769431376,0.9227643265946225,0.05233208282012716,0.0005408756072404225,0.0003851624721688969,0.023977552505841066
2022-10-31,0.8889308650432176,0.08717256370899715,0.0005730488350178716,0.0001815981486663652,0.023141924264100975,0.9199400830858038,0.054685419738844186,0.0005705031091262379,0.00039908819236273715,0.02440490587386327
2022-11-30,0.9160616417956495,0.06892943909560166,0.0009987258748531506,0.00024650597227179806,0.01376368726162382,0.9223305479255975,0.051672278158626225,0.0005908015452642478,0.0003929682478579934,0.025013404122653928
2022-12-31,0.891557336128264,0.09015060858328872,0.003476182716970669,0.00014514135949029628,0.014670731211986227,0.917397031436977,0.05609112985366071,0.000626539922353218,0.0004882163729311315,0.025397082414077753
